id,title,author_id,published_date,isbn,pages
73,Fiction,12,2038-02-16,pOrBxJEIBa,70.01609580221087
74,Horror,87,2018-09-22,QMMWYeGuzJzBOLcLZx,99.23874778159539
75,Fantasy,12,2072-06-23,sHkantAZmNDST,71.33904763124414
76,Children,57,2008-09-04,eeoJkrpirPRcVNoHe,85.4264232449162
77,Fantasy,57,2018-03-28,nbYOqapgu,56.44379607877608
78,History,63,2011-04-14,kJDTkjLQnboeS,88.0801445646849
79,Romance,2,2025-01-01,ervQlzvESEaWzjfxR,73.39122288431199
80,Horror,60,2070-01-14,yuiuGaAddHKCzaFYLaH,83.31376595604047
81,History,45,2078-10-20,xOlucJuUndbAmtVPHf,73.8004471091637
82,Fiction,75,2054-10-06,kHOElhBMv,55.50046615182315
83,Mystery,25,2031-10-21,sjzSYRgUKHaFWTmc,93.85147150797641
84,Fantasy,57,2068-12-03,niHlmML,70.64837548663039
85,Children,94,2032-09-19,PIJtMRLvGfzIdU,71.45622786352011
86,Children,15,2023-10-16,yBivV,64.33848766805258
87,Horror,68,2029-02-02,wfyYZQIJ,82.7759016159286
88,Fantasy,81,2020-12-13,LmrVMYdE,78.32095717064276
89,Mystery,71,2095-09-25,piU,66.90831845834232
90,Horror,84,2058-04-23,aCj,94.40895574669378
91,Romance,48,2008-01-04,kijGUFNoBmSKIiipI,109.99001902043187
92,Science,4,2052-11-10,wtdqXFIqnuvkGvVdMIDT,111.88497105658416
93,Fiction,14,2063-12-25,hoIxSNR,71.21816075263376
94,Fantasy,23,2004-05-22,KXpxYjtIFtakWGrOEy,67.99963662334233
95,Science,47,2075-12-18,uMNPzJsyTiMWK,108.55073275111839
96,Fantasy,70,2077-08-09,VRpAYntkQKyCSazPO,100.34562650693653
97,History,78,2044-12-16,hHniEnhK,99.57201387047365
98,Romance,71,2068-02-05,z,81.97923747441646
99,History,57,2073-02-17,hmXAoVxESFBO,85.95141661397746
