book_id,author_id,number,recall_date
85,95,5,2002-11-14
12,12,6,2038-07-16
99,73,5,2094-12-01
61,6,8,2091-11-13
29,66,5,2092-11-04
12,58,7,2073-06-05
71,96,3,2047-07-08
52,76,4,2004-05-09
58,98,4,2075-01-05
39,37,8,2065-08-05
10,51,4,2053-05-08
91,22,5,2070-04-12
3,29,8,2031-06-24
61,94,6,2078-09-06
18,4,5,2095-11-28
40,97,6,2053-11-19
83,96,5,2043-02-14
9,4,7,2095-02-23
67,53,7,2031-03-03
51,99,10,2026-04-28
33,86,4,2013-07-31
5,77,5,2010-07-10
39,76,5,2038-06-20
7,1,9,2058-12-13
58,84,6,2012-01-21
93,95,5,2086-03-20
27,21,5,2068-02-26
36,98,5,2028-09-05
50,41,8,2073-08-13
55,38,5,2046-11-20
86,63,5,2059-10-23
78,52,6,2006-05-19
26,88,7,2014-07-17
15,19,7,2019-08-07
8,30,3,2019-07-12
59,95,6,2013-05-01
67,5,1,2041-02-22
53,79,6,2001-04-25
40,93,6,2082-10-06
75,44,9,2037-04-11
17,53,4,2045-07-22
23,34,5,2029-08-07
59,85,2,2032-07-03
48,31,7,2027-01-18
60,92,7,2089-08-18
28,4,5,2085-11-20
22,32,6,2051-07-20
46,3,6,2012-04-08
14,12,5,2030-12-10
29,53,2,2023-05-11
12,68,6,2098-01-23
8,47,9,2014-09-23
55,27,7,2075-09-12
34,3,5,2057-02-03
55,83,5,2098-09-29
87,1,4,2026-07-06
72,40,6,2009-06-23
17,22,4,2000-11-01
84,31,6,2062-01-15
76,60,4,2080-10-12
1,34,3,2098-05-21
94,82,3,2043-02-23
70,12,7,2082-09-16
18,86,4,2038-09-10
2,96,4,2080-01-26
67,75,2,2066-01-17
40,38,1,2083-05-12
82,62,9,2006-05-06
70,81,5,2007-07-26
52,24,7,2076-02-19
55,96,7,2096-09-09
96,79,8,2022-06-22
69,44,5,2079-05-01
37,29,6,2008-06-10
73,52,1,2022-09-02
85,86,2,2093-10-11
18,4,7,2013-09-07
61,5,8,2017-12-14
9,77,7,2045-07-04
46,93,2,2016-09-03
26,18,8,2096-02-29
38,32,5,2056-10-18
42,50,4,2018-08-10
66,1,3,2020-03-08
59,4,4,2040-03-02
37,41,7,2010-05-27
78,81,2,2066-11-08
69,18,5,2014-03-31
74,80,6,2071-06-05
55,87,7,2006-12-15
21,68,2,2066-02-25
62,20,3,2087-08-21
43,33,3,2089-09-19
90,85,5,2096-03-28
34,55,5,2003-07-30
37,43,7,2033-08-22
21,98,3,2041-10-08
52,22,4,2069-11-12
96,77,6,2014-11-15
11,69,4,2075-02-08
76,1,6,2037-07-01
72,5,7,2010-11-21
29,91,5,2080-05-11
76,26,2,2046-08-01
59,5,3,2012-10-12
18,85,7,2032-05-27
67,33,2,2008-12-24
99,73,3,2026-08-10
93,33,7,2033-04-03
43,15,6,2079-05-22
90,20,7,2047-02-15
94,77,5,2002-03-15
6,5,4,2056-08-15
66,46,5,2070-07-02
26,52,6,2034-01-05
15,5,2,2021-05-15
74,60,5,2093-12-28
52,31,9,2097-03-29
6,57,5,2000-09-05
65,87,4,2051-05-16
66,69,3,2054-01-13
83,47,8,2057-05-07
58,66,1,2069-02-13
38,45,9,2061-09-10
60,48,2,2056-02-11
49,34,3,2052-01-30
4,93,5,2094-10-07
45,66,6,2066-07-25
67,11,5,2070-11-23
95,72,3,2003-09-18
38,69,7,2053-02-10
75,42,6,2019-04-07
38,64,5,2053-03-01
77,53,6,2064-11-08
52,25,2,2002-08-05
37,31,7,2058-11-03
17,61,8,2099-08-14
58,39,5,2005-01-07
74,95,2,2064-07-08
5,5,6,2003-06-17
5,98,2,2087-10-18
1,77,6,2062-04-25
3,60,3,2029-08-08
87,95,6,2056-12-04
34,32,9,1999-08-13
54,30,2,2076-03-02
46,82,6,2076-09-02
34,45,4,2015-12-29
72,1,5,2056-07-08
65,32,6,2026-03-10
75,2,8,2070-06-02
32,30,2,2081-03-14
22,25,6,2077-10-08
11,78,7,2035-10-14
93,13,3,2031-01-04
52,12,1,2091-04-29
15,35,4,2037-05-30
74,87,1,2053-02-12
77,68,7,2047-08-12
38,3,6,2026-03-12
98,63,5,2018-10-17
58,26,5,2043-07-18
10,9,6,2050-07-26
72,5,6,2038-09-30
1,76,4,2022-03-25
35,59,6,2042-07-14
49,6,1,2038-01-10
71,21,4,2055-02-28
76,98,3,2044-08-14
62,37,4,2057-08-19
34,92,3,2050-03-09
92,87,4,2027-12-30
27,52,8,2089-11-29
42,11,5,2059-01-21
18,72,9,2006-06-02
99,17,7,2091-10-25
74,61,7,2013-10-01
18,43,3,2077-04-08
85,82,6,2089-10-06
6,19,3,2008-02-15
54,3,1,2052-10-16
78,42,8,2057-10-31
38,25,5,2076-07-21
91,28,4,2003-06-16
17,43,6,2030-12-08
10,26,7,2018-11-19
43,73,7,2052-06-27
15,91,3,2031-02-12
11,19,8,2053-09-14
84,65,5,2017-07-28
58,65,5,2068-01-03
40,68,3,2098-03-20
36,16,3,2043-02-01
30,91,7,2066-10-23
93,61,6,2093-04-22
93,5,7,2059-03-22
65,36,5,2022-03-17
96,52,1,2077-07-09
62,10,3,2088-08-28
81,39,6,2069-12-27
77,27,4,2075-12-11
32,67,7,2004-01-29
21,22,3,2061-09-13
75,96,6,2056-04-15
91,68,9,2056-01-31
31,60,6,2045-07-07
91,81,5,2012-08-30
8,66,6,2027-02-05
15,75,4,2062-02-13
58,20,7,2078-01-15
71,36,11,2071-04-15
67,66,9,2053-04-01
42,83,3,2048-09-25
16,64,7,2089-12-15
16,56,2,2058-05-21
85,11,4,2003-02-18
81,49,4,2012-04-22
33,32,5,2071-05-26
56,69,3,2080-02-18
77,69,10,2093-02-26
68,97,8,2025-07-20
16,52,4,2009-08-12
11,60,3,2098-10-10
36,96,3,2078-02-28
20,22,6,2074-04-09
97,51,1,2079-07-30
1,62,5,2027-01-10
89,10,5,2043-12-16
29,97,9,2028-03-13
75,24,7,2019-12-31
8,28,4,2046-01-10
19,14,4,2031-12-01
59,65,4,2093-07-28
39,85,7,2041-01-31
33,40,7,2078-11-13
72,86,2,2011-10-04
92,51,10,2041-01-30
23,93,7,2055-10-14
62,97,1,2011-05-24
61,13,5,2077-03-20
89,2,8,2046-08-15
16,12,8,2020-08-24
80,4,8,2035-07-24
78,89,8,2025-04-08
44,6,1,2059-03-01
87,62,6,2033-05-15
94,34,3,2041-03-30
67,3,6,2039-03-05
83,32,7,2041-04-19
82,0,3,2009-06-30
82,6,8,2020-06-21
33,36,2,2057-06-21
93,45,9,2027-02-10
83,93,4,2012-03-05
26,83,4,2062-05-14
51,97,5,2060-08-04
71,47,5,2093-06-03
9,98,4,2011-09-13
2,34,6,2021-07-10
63,34,8,2078-04-03
81,27,7,2067-04-24
50,69,2,2080-09-11
16,97,5,2034-10-29
88,18,3,2022-04-11
51,43,2,2054-02-22
96,97,2,2091-04-05
89,53,8,2017-12-16
35,97,5,2046-03-03
1,46,6,2001-08-18
59,88,8,2069-06-29
62,89,4,2000-10-11
13,0,6,2067-08-10
25,3,6,2039-02-24
79,49,6,2044-12-12
24,46,6,2082-04-10
65,43,4,2076-11-16
47,82,2,2044-07-07
59,44,3,2046-01-07
69,15,9,2043-11-03
40,3,4,2069-10-28
53,80,7,2036-02-17
40,22,2,2099-01-11
55,89,6,2023-12-23
61,91,4,2056-07-27
25,37,6,2010-02-10
10,75,7,2003-01-18
11,84,10,2075-02-13
94,36,5,2003-04-24
24,81,9,2003-07-19
46,20,2,2024-12-17
92,85,4,2013-03-23
57,22,6,2084-04-14
43,10,6,2067-09-20
86,77,5,2006-06-21
63,39,9,2093-02-22
60,85,4,2053-12-16
43,65,6,2049-09-02
63,23,5,2039-10-19
47,39,3,2079-08-11
10,25,8,2034-05-02
5,59,4,2037-12-22
6,12,7,2033-01-30
87,88,1,2060-03-02
81,66,5,2084-07-31
71,74,2,2052-12-16
31,52,6,2002-04-07
31,33,3,2096-05-19
74,91,2,2031-09-02
96,34,4,2016-07-04
89,58,4,2087-11-18
20,5,8,2087-05-09
84,29,6,2086-08-13
32,16,2,2008-01-06
64,85,3,2087-05-04
87,20,6,2079-09-17
22,63,10,2021-08-07
25,89,4,2038-11-29
24,46,5,2042-07-07
34,93,6,2038-10-20
86,70,5,2035-08-15
32,21,8,2095-01-23
39,82,7,2025-08-01
48,13,5,2086-11-08
58,48,2,2004-06-11
52,76,10,2064-09-03
82,78,2,2034-01-26
16,61,3,2009-02-08
22,40,3,2077-08-10
64,21,9,2029-02-18
27,19,2,2036-03-23
51,27,7,2093-09-29
97,32,7,2044-01-09
85,43,6,2043-11-28
28,63,8,2048-01-05
73,66,2,2063-07-05
47,6,6,2061-02-20
1,57,8,2085-11-19
84,58,6,2045-01-06
54,50,1,2011-11-15
41,32,4,2022-05-25
71,75,2,2021-03-05
81,79,5,2048-03-16
47,27,5,2065-05-29
92,20,8,2016-05-22
82,62,5,2011-05-04
11,11,6,2080-03-30
25,57,2,2032-11-28
7,83,3,2050-02-13
97,61,4,2068-08-12
72,2,5,2056-12-24
2,26,5,2064-09-25
78,38,5,2024-06-26
6,72,7,2077-07-10
83,19,10,2027-07-12
20,19,3,2059-09-17
41,43,4,2091-12-10
13,56,5,2086-07-26
34,21,5,2017-09-03
54,99,10,2073-01-11
33,97,4,2010-07-03
39,98,8,2060-12-27
14,52,6,2037-07-02
12,70,7,2070-06-23
3,71,6,2039-08-15
7,39,4,2070-03-22
50,95,10,2022-05-16
38,22,6,2032-03-15
79,71,5,2091-05-21
57,65,4,2019-08-01
80,54,12,2020-07-26
74,40,6,2048-07-09
93,44,3,2091-11-28
77,60,5,2031-04-23
81,7,4,2090-04-25
33,54,4,2031-11-13
24,99,7,2000-07-01
70,95,2,2010-01-17
30,74,4,2011-03-12
64,54,1,2049-08-02
84,89,3,2065-07-01
11,37,5,2048-03-17
82,46,4,2052-03-21
29,89,8,2054-10-01
51,96,9,2048-11-22
4,85,5,2058-04-19
37,26,3,2090-08-23
66,17,5,2044-02-26
10,93,8,2059-03-14
40,7,5,2072-03-08
15,10,6,2007-01-27
86,45,6,2086-10-28
48,44,3,2061-12-20
83,27,1,2007-10-30
73,76,7,2077-07-15
5,99,7,2091-04-28
75,99,7,2003-12-15
49,6,6,2087-06-04
49,15,5,2098-08-22
6,1,4,2049-11-28
52,93,6,2012-06-15
14,1,6,2044-08-04
65,25,5,2056-11-09
27,74,7,2091-01-13
78,67,4,2085-03-12
16,20,10,2066-01-05
94,48,2,2075-09-11
69,86,5,2018-07-15
69,95,5,2012-10-22
95,12,5,2012-03-17
60,87,3,2008-09-12
7,54,5,2045-05-18
82,29,5,2032-10-30
5,23,2,2004-06-01
62,11,4,2047-11-08
25,27,5,2080-07-11
26,40,3,2073-02-27
69,73,9,2035-11-29
16,29,7,2086-09-25
11,42,6,2051-10-24
8,62,2,2092-11-20
17,86,7,2055-01-13
4,99,6,2078-11-26
92,30,2,2073-10-06
35,25,5,2046-06-17
62,37,6,2001-12-27
54,62,2,2027-12-28
76,73,6,2081-10-13
73,50,5,2097-01-11
83,40,4,2002-09-13
97,32,4,2074-01-10
91,78,5,2068-11-01
1,16,3,2029-08-09
21,36,6,2092-06-06
95,3,6,2039-07-26
96,99,4,2045-04-27
60,38,5,2030-08-19
36,66,7,2058-11-12
73,35,3,2011-08-02
6,18,3,2027-02-12
37,57,6,2082-06-29
80,80,7,2078-10-27
46,50,4,2026-07-17
87,15,6,2077-10-06
36,3,4,2027-09-10
28,67,9,2040-03-26
39,71,2,2036-04-10
82,87,6,2032-01-28
82,2,8,2065-04-09
91,91,12,2010-01-25
47,14,7,2084-12-23
63,69,1,2036-05-17
20,59,4,2064-11-04
70,59,4,1999-07-13
76,8,6,2007-10-23
23,9,4,2065-08-25
53,95,6,2021-07-09
48,42,6,2000-12-19
5,35,6,2021-06-09
14,60,4,2037-10-10
84,36,4,2013-08-31
16,23,5,2078-05-24
13,96,3,2017-08-11
32,60,2,2095-05-01
5,78,3,2022-02-04
28,46,5,2020-09-13
79,71,8,2032-03-24
3,40,6,2041-01-10
88,88,5,2002-08-28
26,63,9,2033-12-07
63,0,3,2002-01-31
77,19,8,2017-12-05
18,76,10,2068-07-10
25,86,4,2044-06-06
62,44,5,2027-03-31
27,46,7,2039-10-03
97,13,10,2011-01-13
18,89,10,2038-06-17
56,61,3,2080-08-11
92,46,9,2005-07-03
44,85,4,2084-05-09
2,10,5,2032-02-15
65,5,8,2029-02-04
91,26,1,2094-08-10
32,95,1,2074-02-27
9,79,8,2006-03-20
24,16,7,2083-07-05
68,11,2,2094-03-16
53,63,4,2040-09-14
38,30,6,2011-08-19
89,92,5,2090-12-05
5,70,7,2016-08-26
73,44,5,2057-03-21
79,48,11,2087-01-05
92,83,5,2065-02-19
23,37,4,2062-09-15
78,13,8,2008-01-25
37,48,5,2085-09-23
37,12,7,2007-02-14
37,93,7,2000-09-07
74,42,6,2083-05-27
79,14,5,2089-06-11
90,5,1,2080-11-25
56,62,3,2016-10-27
96,18,5,2044-08-14
79,8,4,2036-07-02
65,52,5,2045-03-23
13,78,6,2019-09-10
0,53,8,2006-01-10
34,21,4,2007-02-02
81,99,3,2035-02-24
52,76,5,2049-02-22
81,15,7,2030-11-23
19,13,4,2021-12-15
77,48,3,2099-11-03
83,97,6,2072-01-20
9,32,8,2047-06-13
83,62,8,2004-11-13
72,2,8,2020-02-28
54,79,2,2067-03-24
22,36,3,2017-01-06
68,18,2,2055-11-21
14,21,5,2057-07-21
71,53,4,2068-02-29
29,75,7,2082-07-02
81,25,7,2032-01-16
9,57,1,2054-10-26
75,39,5,2065-05-27
60,41,3,2060-05-04
33,55,5,2092-02-04
7,22,7,2091-04-23
99,89,4,2058-09-03
10,10,8,2064-07-13
69,37,3,2052-06-26
25,7,6,2021-09-20
79,0,3,2097-12-04
97,24,6,2095-01-27
86,5,3,2065-09-16
91,18,4,2031-08-02
29,8,4,2077-10-10
67,59,2,2057-03-26
59,32,3,2088-06-23
82,57,6,2040-04-07
51,88,5,2097-01-20
39,48,6,2059-04-16
9,7,5,2086-12-19
80,74,6,2051-10-21
46,71,7,2059-05-25
46,17,6,2080-10-09
21,44,3,2007-11-22
91,81,8,2078-11-28
22,39,6,2011-01-31
54,86,5,2016-10-11
15,25,8,2057-11-24
64,51,4,2047-03-02
2,84,8,2084-02-20
27,94,6,2037-03-14
3,24,5,2038-04-16
98,80,11,2068-04-09
52,24,4,2059-07-29
4,43,3,2022-10-05
94,5,3,2055-01-19
25,75,1,2039-06-07
45,47,3,2095-07-13
66,13,4,2027-06-04
45,34,6,2049-06-18
22,8,8,2076-02-27
9,41,4,2064-07-22
34,88,7,2029-09-19
46,11,5,2002-05-01
46,16,5,2049-07-10
87,95,1,2048-08-12
59,59,4,2071-03-01
40,82,2,2032-11-08
59,63,11,2040-01-29
39,82,6,2048-03-27
60,56,5,2016-07-02
61,88,2,2041-12-13
90,90,5,2005-01-02
11,20,7,2038-03-23
12,18,1,2078-04-16
10,64,2,2049-06-26
39,92,3,2045-05-04
67,25,3,2000-03-20
20,75,7,2025-03-01
53,71,2,2015-10-07
21,24,3,2094-11-21
44,26,7,2078-04-05
6,57,6,2031-01-13
54,79,5,2000-12-30
93,72,4,2089-02-07
69,63,4,2070-08-27
65,37,3,2090-06-01
16,17,7,2053-02-18
29,30,5,2062-05-15
82,36,6,2001-11-20
14,79,9,2029-07-29
20,71,8,2083-07-18
64,34,6,2095-09-20
50,24,5,2037-12-26
38,80,5,2031-02-02
66,63,7,2024-01-28
20,5,5,2098-01-31
20,68,5,2091-05-29
33,34,1,2078-09-26
39,67,3,2038-05-20
16,19,7,2076-07-22
91,78,6,2083-10-14
59,46,9,2084-05-17
97,13,9,2027-06-22
29,6,6,2052-09-16
61,10,8,2013-08-12
71,62,5,2034-10-27
54,87,5,2061-02-03
71,94,2,2027-09-24
46,67,4,2010-11-26
64,49,4,2035-01-25
94,86,4,2017-10-04
16,66,2,2014-07-23
92,2,6,2088-05-03
35,28,8,2034-04-28
95,42,4,2027-04-25
57,82,3,2050-11-05
79,96,6,2063-09-18
3,11,6,2048-04-27
39,7,2,2090-12-27
1,13,6,2018-03-12
61,99,4,2051-12-11
27,55,10,2099-05-31
94,64,5,2000-07-25
48,85,0,2037-09-07
60,98,3,2066-06-10
18,77,6,2057-01-02
49,22,3,2018-11-21
38,97,1,2045-10-29
68,60,4,2089-10-21
19,56,5,2093-09-15
19,68,7,2058-01-20
12,32,7,2057-08-03
20,25,3,2072-12-14
54,33,5,2081-03-31
84,1,4,2054-11-23
49,83,6,2034-08-09
74,70,2,2050-05-28
35,0,6,2003-05-14
23,73,5,2003-02-18
21,81,5,2010-09-30
39,26,6,2034-07-27
72,72,6,2026-06-14
23,61,6,2028-08-01
89,35,9,2007-04-06
20,63,4,2022-01-05
79,45,8,2063-12-30
80,59,4,2016-09-16
71,96,7,2019-03-21
15,31,3,2017-09-23
94,97,4,2047-06-04
91,11,2,2008-05-16
31,8,4,2097-09-15
83,67,5,2061-03-05
49,26,6,2095-02-25
57,40,11,2051-03-05
96,33,9,2043-03-11
55,5,4,2085-04-11
26,76,5,2083-06-28
54,26,6,2076-02-10
44,81,4,2051-10-08
94,81,7,2013-07-01
56,21,9,2032-10-01
47,96,5,2008-11-02
69,97,5,2000-02-03
8,79,5,2087-03-15
42,70,3,2053-04-14
75,50,3,2033-10-13
60,29,3,2069-12-13
98,35,7,2017-07-17
87,80,9,2008-07-18
82,11,6,2046-06-18
79,47,6,2047-02-12
48,21,5,2067-08-04
86,66,4,2041-12-25
42,80,1,2002-04-11
78,6,1,2013-12-24
90,19,3,2052-09-01
68,29,7,2093-04-04
24,0,2,2022-04-14
78,16,4,2018-09-09
15,97,6,2081-07-20
99,91,4,2021-11-20
55,6,3,2011-02-06
56,2,5,2085-11-14
79,34,7,2036-10-02
5,14,6,2038-08-10
45,96,8,2034-08-24
19,81,1,2081-12-31
35,34,6,2069-10-17
21,74,4,2080-12-09
11,81,3,2057-03-16
47,1,8,2037-04-16
11,89,3,2071-04-22
38,81,4,2013-06-02
50,3,3,2034-04-28
42,16,9,2057-03-26
13,15,6,2011-03-17
15,69,2,2088-03-11
20,36,3,2096-11-08
7,79,8,2016-05-19
92,13,4,2005-10-25
13,12,4,2036-03-02
21,3,9,2007-07-22
7,45,6,2007-08-20
69,55,2,2011-01-24
43,26,7,2067-04-14
68,23,5,2002-09-09
62,53,4,2013-08-01
79,23,6,2002-04-13
74,87,4,2072-08-12
2,56,7,1999-11-28
87,98,2,2020-12-01
53,26,4,2085-02-24
77,63,3,2089-07-13
81,6,9,2032-10-11
18,43,9,2090-05-31
27,81,3,2049-09-30
54,20,7,2082-05-10
22,45,4,2040-06-04
7,96,5,2083-03-28
2,72,7,2076-08-04
50,85,7,2070-07-02
63,2,8,2062-04-15
62,50,8,2039-08-15
18,43,7,2058-08-24
61,85,4,2084-08-29
51,80,5,2001-07-19
73,12,2,2013-09-03
80,10,3,2050-08-12
60,43,9,2058-04-05
26,67,4,2027-05-25
63,45,7,2023-11-23
50,9,4,2086-07-03
26,15,2,2007-11-05
58,70,6,2007-02-24
75,50,3,2036-12-11
36,87,3,2097-02-15
72,84,1,2026-09-21
53,12,3,2011-10-18
84,5,6,2055-05-13
37,6,4,2070-05-17
41,71,2,2007-05-20
83,81,5,2003-04-06
77,63,1,2071-02-15
39,98,8,2062-05-30
9,47,4,2096-02-23
65,14,5,2003-10-25
96,65,5,2032-12-04
63,54,7,2082-12-29
65,27,7,2045-10-07
96,27,5,2080-04-09
35,39,4,2070-10-25
86,3,6,2055-09-10
90,11,5,2093-01-26
30,25,2,2053-11-25
26,72,3,2054-11-27
1,69,4,2097-06-08
18,14,7,2076-09-24
76,56,6,2027-03-02
64,28,4,2022-05-27
63,55,6,2096-03-17
91,31,9,2001-07-25
43,96,6,2009-04-23
22,56,5,2021-01-30
54,78,4,2043-06-03
7,2,6,2037-10-10
1,24,5,2080-04-18
90,9,4,2095-06-22
5,75,8,2058-11-30
27,39,7,2027-04-21
95,68,5,2070-09-06
44,53,6,2085-02-06
39,90,6,2039-12-25
90,49,9,2099-07-16
89,61,2,2079-07-22
17,30,5,2055-04-14
9,6,3,2029-02-03
57,71,6,2055-11-19
88,46,1,2047-01-13
19,65,5,2030-12-14
37,96,5,2012-01-21
15,56,7,2009-08-24
63,71,6,2071-09-21
21,28,9,2069-06-22
69,69,5,2050-11-11
73,11,8,2088-09-04
60,9,10,2098-09-18
94,12,7,2002-11-10
56,27,5,2094-06-22
1,61,0,2002-01-02
55,31,3,2003-04-19
90,49,3,2047-03-27
66,71,6,2059-11-04
5,6,3,2093-02-21
9,77,3,2038-01-25
14,0,7,2097-01-04
80,90,5,2053-06-01
55,37,4,2039-12-19
46,79,5,2076-05-31
73,44,5,2074-04-20
97,65,2,2047-08-18
52,28,4,2053-10-09
95,72,3,2066-09-08
62,98,6,2068-04-24
45,57,5,2042-05-21
69,18,2,2045-09-17
43,58,7,2036-10-23
93,5,2,2015-08-31
44,34,3,2092-07-01
42,21,6,2065-10-07
38,38,11,2065-06-03
85,26,8,2089-10-02
58,54,5,2060-09-23
65,83,3,2068-12-17
25,23,8,2028-06-22
42,33,1,2045-03-01
61,28,4,2025-04-12
20,49,4,2090-05-15
45,77,3,2071-12-23
48,79,4,2003-01-11
91,57,9,2049-12-12
45,98,5,1999-08-18
52,98,3,2089-06-19
55,99,8,2056-03-30
62,27,7,2059-12-30
58,49,9,2099-08-27
44,93,2,2017-09-09
70,82,1,2097-07-31
41,33,3,2004-06-28
63,52,7,2041-09-05
18,62,1,2022-02-01
91,5,7,2001-09-20
95,17,4,2032-11-20
58,41,5,2061-01-22
95,39,7,2099-08-03
31,33,7,2056-10-08
15,6,4,2018-02-04
44,10,5,2054-05-15
10,6,3,2092-03-13
86,84,10,2061-04-07
88,36,3,2030-02-17
47,37,3,2004-02-08
63,30,4,2089-09-01
15,60,4,2076-03-11
30,27,6,2012-09-14
67,92,4,2094-02-05
81,42,5,2069-07-03
7,36,10,2056-08-08
98,71,7,2099-10-07
40,11,7,1999-08-26
76,45,6,2056-09-13
42,80,4,2063-04-26
72,46,5,2097-10-16
7,56,4,2078-08-24
60,15,7,2052-02-04
24,14,6,2015-02-09
